cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Bromegrass-alfalfa,AUM,10.6,11,11.2,NA,NA,NA,411562,15565299
Kentucky bluegrass,AUM,3.9,3.9,4,NA,NA,NA,411562,15565302
Smooth bromegrass,AUM,6.5,6.6,6.7,NA,NA,NA,411562,15565304
Soybeans,Bu,58,61,64,NA,NA,NA,411562,15565305
Corn,Bu,200,210,220,NA,NA,NA,411562,15565301
Oats,Bu,88,91,94,NA,NA,NA,411562,15565303
Bromegrass-alfalfa hay,Tons,6.4,6.6,6.7,NA,NA,NA,411562,15565300
Bromegrass-alfalfa,AUM,10.3,10.6,10.7,NA,NA,NA,411564,15565306
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,411564,15565309
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,411564,15565311
Soybeans,Bu,61,61,61,NA,NA,NA,411564,15565312
Corn,Bu,212,212,212,NA,NA,NA,411564,15565308
Oats,Bu,85,88,91,NA,NA,NA,411564,15565310
Bromegrass-alfalfa hay,Tons,6.2,6.3,6.3,NA,NA,NA,411564,15565307
Bromegrass-alfalfa,AUM,10.3,10.7,10.9,NA,NA,NA,405843,15526716
Kentucky bluegrass,AUM,3.8,3.9,3.9,NA,NA,NA,405843,15526719
Smooth bromegrass,AUM,6.3,6.4,6.5,NA,NA,NA,405843,15526721
Soybeans,Bu,52,62,62,NA,NA,NA,405843,15526722
Oats,Bu,86,92,93,NA,NA,NA,405843,15526720
Corn,Bu,215,215,215,NA,NA,NA,405843,15526718
Bromegrass-alfalfa hay,Tons,6.2,6.4,6.5,NA,NA,NA,405843,15526717
Bromegrass-alfalfa,AUM,10,10.3,10.3,NA,NA,NA,405845,15526678
Kentucky bluegrass,AUM,3.8,3.9,3.9,NA,NA,NA,405845,15526681
Smooth bromegrass,AUM,5.8,6,6.3,NA,NA,NA,405845,15526683
Soybeans,Bu,48,50,52,NA,NA,NA,405845,15526684
Oats,Bu,85,88.5,92,NA,NA,NA,405845,15526682
Corn,Bu,174,174,174,NA,NA,NA,405845,15526680
Bromegrass-alfalfa hay,Tons,6,6.1,6.2,NA,NA,NA,405845,15526679
Bromegrass-alfalfa,AUM,8.9,9.6,10,NA,NA,NA,405846,15526685
Kentucky bluegrass,AUM,3.2,3.4,3.5,NA,NA,NA,405846,15526688
Smooth bromegrass,AUM,5.3,5.6,5.8,NA,NA,NA,405846,15526690
Soybeans,Bu,37,44,48,NA,NA,NA,405846,15526691
Oats,Bu,73,81,85,NA,NA,NA,405846,15526689
Corn,Bu,159,162,163,NA,NA,NA,405846,15526687
Bromegrass-alfalfa hay,Tons,5.4,5.8,6,NA,NA,NA,405846,15526686
Bromegrass-alfalfa,AUM,10.6,11,11.2,NA,NA,NA,406045,15526671
Kentucky bluegrass,AUM,3.9,3.9,4,NA,NA,NA,406045,15526674
Smooth bromegrass,AUM,6.5,6.6,6.7,NA,NA,NA,406045,15526676
Soybeans,Bu,58,61,64,NA,NA,NA,406045,15526677
Oats,Bu,88,91,94,NA,NA,NA,406045,15526675
Corn,Bu,200,210,220,NA,NA,NA,406045,15526673
Bromegrass-alfalfa hay,Tons,6.4,6.6,6.7,NA,NA,NA,406045,15526672
Bromegrass-alfalfa,AUM,10.3,10.6,10.6,NA,NA,NA,406046,15526692
Kentucky bluegrass,AUM,3.6,3.7,3.8,NA,NA,NA,406046,15526695
Smooth bromegrass,AUM,6,6.2,6.4,NA,NA,NA,406046,15526697
